epoch,binary_accuracy,loss,precision,recall,val_binary_accuracy,val_loss,val_precision,val_recall
0,0.7645000219345093,0.5331037044525146,0.6816620826721191,0.9925000071525574,0.5,2.994182825088501,0.5,1.0
1,0.8299999833106995,0.4569949507713318,0.7477477192878723,0.9959999918937683,0.5,2.186890125274658,0.5,1.0
2,0.8420000076293945,0.4290713369846344,0.7614678740501404,0.9959999918937683,0.5,1.1991511583328247,0.5,1.0
3,0.840749979019165,0.4108591377735138,0.7588302493095398,0.9990000128746033,0.7300000190734863,0.5537904500961304,0.649350643157959,1.0
4,0.8462499976158142,0.3981286585330963,0.7654273509979248,0.9984999895095825,0.777999997138977,0.43770450353622437,0.692520797252655,1.0
5,0.8502500057220459,0.3878241777420044,0.7697343230247498,0.9994999766349792,0.8479999899864197,0.3582547605037689,0.7668711543083191,1.0
6,0.8519999980926514,0.3798796832561493,0.7716049551963806,1.0,0.8399999737739563,0.3698539733886719,0.7575757503509521,1.0
7,0.8525000214576721,0.3734898865222931,0.7722007632255554,1.0,0.8460000157356262,0.3556516170501709,0.7645260095596313,1.0
8,0.862500011920929,0.36735987663269043,0.7843137383460999,1.0,0.8679999709129333,0.34026798605918884,0.7911392450332642,1.0
9,0.8627499938011169,0.36392536759376526,0.7846214175224304,1.0,0.8479999899864197,0.3471633195877075,0.7668711543083191,1.0
