epoch,binary_accuracy,loss,precision,recall,val_binary_accuracy,val_loss,val_precision,val_recall
0,0.8567500114440918,0.43515869975090027,0.8034878969192505,0.9445000290870667,0.7559999823570251,0.6728224158287048,0.6739130616188049,0.9919999837875366
1,0.9514999985694885,0.14400087296962738,0.9345524311065674,0.9710000157356262,0.8939999938011169,0.5093671679496765,0.8408304452896118,0.972000002861023
2,0.9677500128746033,0.09421367198228836,0.9592537879943848,0.9769999980926514,0.9300000071525574,0.3405461609363556,0.9352226853370667,0.9240000247955322
3,0.9835000038146973,0.060245331376791,0.9796627163887024,0.987500011920929,0.9160000085830688,0.32302922010421753,0.9814814925193787,0.8479999899864197
4,0.9854999780654907,0.04391193389892578,0.9845309257507324,0.9865000247955322,0.9100000262260437,0.32213902473449707,0.9904305934906006,0.828000009059906
5,0.9860000014305115,0.03985211253166199,0.9874624013900757,0.984499990940094,0.9079999923706055,0.3306620121002197,0.9903846383094788,0.8240000009536743
6,0.987500011920929,0.03968735411763191,0.9845924377441406,0.9904999732971191,0.906000018119812,0.40908339619636536,1.0,0.8119999766349792
7,0.9869999885559082,0.03637545183300972,0.9860279560089111,0.9879999756813049,0.9039999842643738,0.36585158109664917,1.0,0.8080000281333923
8,0.9894999861717224,0.02840695157647133,0.991959810256958,0.9869999885559082,0.9200000166893005,0.35573744773864746,1.0,0.8399999737739563
9,0.9950000047683716,0.01779218763113022,0.9940119981765747,0.9959999918937683,0.906000018119812,0.3649424612522125,1.0,0.8119999766349792
