condition,num_pairs,accuracy,precision,recall,f1,far,frr,roc_auc,threshold
low_light,500,0.518,0.5652173913043478,0.156,0.2445141065830721,0.12,0.844,0.585856,0.045924268662929535
overexposure,500,0.442,0.0,0.0,0.0,0.116,1.0,0.647472,0.045924268662929535
low_contrast,500,0.766,0.9030303030303031,0.596,0.7180722891566265,0.064,0.404,0.9048799999999999,0.045924268662929535
noise,500,0.958,0.975103734439834,0.94,0.9572301425661914,0.024,0.06,0.989792,0.045924268662929535
blur,500,0.87,0.9512195121951219,0.78,0.8571428571428571,0.04,0.22,0.969952,0.045924268662929535
rotation_crop,500,0.976,0.9722222222222222,0.98,0.9760956175298805,0.028,0.02,0.99264,0.045924268662929535
partial_occlusion,500,0.974,0.9721115537848606,0.976,0.9740518962075848,0.028,0.024,0.993472,0.045924268662929535
synthetic_glasses,500,0.978,0.9760956175298805,0.98,0.9780439121756487,0.024,0.02,0.993296,0.045924268662929535
synthetic_beard_shadow,500,0.972,0.9758064516129032,0.968,0.9718875502008032,0.024,0.032,0.991744,0.045924268662929535
