condition,num_pairs,accuracy,precision,recall,f1,far,frr,roc_auc,threshold
low_light,500,0.844,0.8028169014084507,0.912,0.8539325842696629,0.224,0.088,0.920448,0.018788017332553864
overexposure,500,0.936,0.9097744360902256,0.968,0.937984496124031,0.096,0.032,0.9730399999999999,0.018788017332553864
low_contrast,500,0.912,0.8931297709923665,0.936,0.9140625,0.112,0.064,0.95664,0.018788017332553864
noise,500,0.964,0.9496124031007752,0.98,0.9645669291338582,0.052,0.02,0.986336,0.018788017332553864
blur,500,0.982,0.9688715953307393,0.996,0.9822485207100592,0.032,0.004,0.98496,0.018788017332553864
rotation_crop,500,0.978,0.9686274509803922,0.988,0.9782178217821782,0.032,0.012,0.990176,0.018788017332553864
partial_occlusion,500,0.974,0.9575289575289575,0.992,0.9744597249508841,0.044,0.008,0.9895679999999999,0.018788017332553864
synthetic_glasses,500,0.98,0.9651162790697675,0.996,0.9803149606299213,0.036,0.004,0.985408,0.018788017332553864
synthetic_beard_shadow,500,0.982,0.9688715953307393,0.996,0.9822485207100592,0.032,0.004,0.9872,0.018788017332553864
