criterion,threshold,validation_accuracy,validation_precision,validation_recall,validation_f1,validation_far,validation_frr,validation_tn,validation_fp,validation_fn,validation_tp,test_accuracy,test_precision,test_recall,test_f1,test_far,test_frr,test_tn,test_fp,test_fn,test_tp,test_roc_auc,comment,worst_stress,worst_stress_accuracy,worst_stress_f1,worst_stress_far,worst_stress_frr
max_f1,0.0187880173325538,0.984,0.9763779527559056,0.992,0.9841269841269841,0.024,0.008,244,6,2,248,0.98,0.9651162790697675,0.996,0.9803149606299213,0.036,0.004,241,9,1,249,0.983776,Máximo F1 en validation; desempate por menor FAR y FRR.,low_light,0.844,0.8539325842696629,0.224,0.088
balanced_far_frr,0.1535217761993408,0.976,0.976,0.976,0.976,0.024,0.024,244,6,6,244,0.982,0.9800796812749004,0.984,0.9820359281437125,0.02,0.016,245,5,4,246,0.983776,Mínima diferencia absoluta entre FAR y FRR en validation.,low_light,0.852,0.8502024291497976,0.136,0.16
far_lte_1,0.8299853801727295,0.588,0.9583333333333334,0.184,0.3087248322147651,0.008,0.816,248,2,204,46,0.63,0.9577464788732394,0.272,0.4236760124610592,0.012,0.728,247,3,182,68,0.983776,Mejor F1 entre thresholds con FAR <= 1% en validation.,low_light,0.56,0.2361111111111111,0.016,0.864
far_lte_2,0.3128704726696014,0.976,0.9798387096774194,0.972,0.9759036144578314,0.02,0.028,245,5,7,243,0.966,0.9794238683127572,0.952,0.9655172413793104,0.02,0.048,245,5,12,238,0.983776,Mejor F1 entre thresholds con FAR <= 2% en validation.,low_light,0.782,0.7470997679814385,0.08,0.356
far_lte_3,0.0187880173325538,0.984,0.9763779527559056,0.992,0.9841269841269841,0.024,0.008,244,6,2,248,0.98,0.9651162790697675,0.996,0.9803149606299213,0.036,0.004,241,9,1,249,0.983776,Mejor F1 entre thresholds con FAR <= 3% en validation.,low_light,0.844,0.8539325842696629,0.224,0.088
security_first,0.3128704726696014,0.976,0.9798387096774194,0.972,0.9759036144578314,0.02,0.028,245,5,7,243,0.966,0.9794238683127572,0.952,0.9655172413793104,0.02,0.048,245,5,12,238,0.983776,Menor FAR con FAR <= 2% y FRR <= 5% en validation; desempate por mayor F1.,low_light,0.782,0.7470997679814385,0.08,0.356
